Id,Name,RUID,Category,UsableFunction,UsableFunctionParams,CanDiscard,NonStackable,ExpirationDate,ExpirationPeriodDay
010001,Pensalir Battle Helm,thumbnail://a8f555328bca4745a881a93346b9be38,Gear,,,1,,,
030001,Pensalir Battle Gloves,thumbnail://acca69e4e49945738b11e61d48261ca7,Gear,,,1,,,
040001,Pensalir Battle Boots,thumbnail://0f1991a4e28549de9ab56a67fbfe531c,Gear,,,1,,,
050001,Pensalir Battle Cape,thumbnail://33868c96632d490c93136b9adbfd2413,Gear,,,1,,,
020001,Pensalir Battle Mail,thumbnail://8143b856f2f645e299e2a8666be2ae57,Gear,,,1,,,
080001,Meister Battle Shoulder,a5b1d17d69384f9d896f8192d48403f1,Gear,,,1,,,
060001,Fafnir Mercy,38ec4f10dfaa4dcaa53233410d898f0c,Gear,,,1,,,
070001,Noble Bladebinder,ec6568dea50a40d0bd3adb6e2c60eeba,Gear,,,1,,,
090001,Estella Earrings,thumbnail://0b2cfa2a7e544360a602c07c56ba7fee,Gear,,,1,,,
100001,Guardian Angel Pendant,80de96ecbe964808bab5f53dbbc6fc53,Gear,,,1,,,
500001,Stamina,52e384eb9a613864ca5fb683e506c440,Usable,Stamina,30,1,,12/31/2050 23:59:00,
060002,나무 스태프,thumbnail://7380b5e5754a4e338e65fa232a8a095b,Gear,,,1,,,
060003,워 보우,thumbnail://3ffe515570ad435caa397ca0f2e2f83b,Gear,,,1,,,
060004,양손검,thumbnail://88e6d4f9c00b407fa2be9d6aaafab276,Gear,,,1,,,
060005,삼각 자마다르,thumbnail://810f17a2db174e10b3299c40055d693e,Gear,,,1,,,
020002,드라카즈 제복,thumbnail://26781cb2549249afaba297cff4aac2f6,Gear,,,1,,,
020003,기사단 제복,thumbnail://2f720404483a49b49cc0babe96be7c9b,Gear,,,1,,,
010002,신문지 투구,thumbnail://ba6bbb0fc8ea4dcfa6ca1a2f1b721c29,Gear,,,1,,,
030002,노가다 목장갑,thumbnail://2e58683f2f094f099a0813c36e278dd5,Gear,,,1,,,
050002,허름한 망토,thumbnail://c33def64db8b48f39b7b125fab1092e1,Gear,,,1,,,
510001,무기 강화 주문서,52df3f22bb014921a232021a48a1279b,Etc,,,1,,,
510002,갑옷 강화 주문서,2f9a8db2d118401f847acf20e3684d0d,Etc,,,1,,,
510003,모자 강화 주문서,0ad04f9af12b49469cb49848e9f90f05,Etc,,,1,,,
510004,장갑 강화 주문서,31e0a48942154e50b5cff7be26bcd900,Etc,,,1,,,
510005,망토 강화 주문서,938e79e26e7b4407a113b938b0a9461c,Etc,,,1,,,
