MLUA_CARDMANAGER_462	Multi-hit	多段攻擊	多段攻撃
MLUA_CARDMANAGER_463	Pierce,Slow	穿透,緩速	貫通,スロー
MLUA_CARDMANAGER_464	Pierce,Stun	穿透,暈眩	貫通,スタン
MLUA_CARDMANAGER_465	AoE,Burn	範圍,燒傷	範囲,火傷
MLUA_CARDMANAGER_466	Cooldown Buff	冷卻增益	クールタイムバフ
MLUA_CARDMANAGER_467	Critical Buff	爆擊增益	クリティカルバフ
MLUA_CARDMANAGER_468	Pierce,Chain	穿透,連鎖	貫通,連鎖
MLUA_CARDMANAGER_469	Freeze,Chain	冰凍,連鎖	凍結,連鎖
MLUA_CARDMANAGER_470	AoE,Bleed	範圍,流血	範囲,出血
MLUA_CARDMANAGER_471	Fixed,AoE	固定,範圍	固定,範囲
MLUA_CARDMANAGER_472	AoE,Knockback	範圍,擊退	範囲,ノックバック
MLUA_CARDMANAGER_473	Multi-target,Bind	多目標,束縛	複数対象,バインド
MLUA_CARDMANAGER_474	Multi-target,Freeze	多目標,冰凍	複数対象,凍結
MLUA_CARDMANAGER_475	AoE,Stun,3 hits	範圍,暈眩,3連擊	範囲,スタン,3連撃
MLUA_CARDMANAGER_476	Multi-target,Slow,Freeze	多目標,緩速,冰凍	複数対象,スロー,凍結
MLUA_CARDMANAGER_477	Passive,Damage Reduction	被動,傷害減免	パッシブ,ダメージ軽減
MLUA_CARDMANAGER_478	Chain,Critical	連鎖,爆擊	連鎖,クリティカル
MLUA_CARDMANAGER_479	AoE,Pierce,Bleed,Knockback	範圍,穿透,流血,擊退	範囲,貫通,出血,ノックバック
MLUA_CARDMANAGER_480	Fixed,AoE,Chance of 2 hits	固定,範圍,機率2連擊	固定,範囲,確率2連撃
MLUA_CARDMANAGER_481	Passive,Damage Increase	被動,傷害增加	パッシブ,ダメージ増加
MLUA_CARDMANAGER_482	Multi-target,Freeze,Area	多目標,冰凍,範圍	複数対象,凍結,範囲
MLUA_CARDMANAGER_483	Multi-target,Bind,Extra hit	多目標,束縛,追加攻擊	複数対象,バインド,追加攻撃
MLUA_CARDMANAGER_484	Multi-target,Pierce	多目標,穿透	複数対象,貫通
MLUA_CARDMANAGER_485	Single,Chance Enhance	單體,機率強化	単体,確率強化
MLUA_CARDMANAGER_486	AoE,Multi-target,Slow	範圍,多目標,緩速	範囲,複数対象,スロー
MLUA_CARDMANAGER_487	AoE,Multi-target,Bonus vs Slowed	範圍,多目標,對緩速目標追加傷害	範囲,複数対象,スロー中の敵に追加ダメージ
MLUA_CARDMANAGER_488	Summon,AoE,Damage over time,Bonus vs Slowed	召喚,範圍,持續傷害,對緩速目標追加傷害	召喚,範囲,継続ダメージ,スロー中の敵に追加ダメージ
MLUA_CARDMANAGER_489	Horizontal,Pierce,Multi-target	橫向,穿透,多目標	横方向,貫通,複数対象
MLUA_CARDMANAGER_490	Vertical,Area,Multi-target	縱向,範圍,多目標	縦方向,範囲,複数対象
MLUA_CARDMANAGER_491	Horizontal,Pierce,Critical	橫向,穿透,爆擊	横方向,貫通,クリティカル
MLUA_CARDMANAGER_492	Vertical,Area,Critical	縱向,範圍,爆擊	縦方向,範囲,クリティカル
MLUA_CARDMANAGER_493	Knockback,Collision,Explosion	擊退,碰撞,爆炸	ノックバック,衝突,爆発
MLUA_CARDMANAGER_494	Single,Knockback	單體,擊退	単体,ノックバック
