FMT_CARDMANAGER_069	Targets {0}  |  AoE  |  2nd hit Damage {1}%  |  Combo Stack +1	目標 {0}名  |  範圍  |  第2擊傷害 {1}%  |  連擊層數 +1	ターゲット {0}体  |  範囲  |  2撃目ダメージ {1}%  |  コンボスタック +1
FMT_CARDMANAGER_070	Knockback  |  Struck unit {0}%  |  AoE Damage {1}%	擊退  |  被擊單位 {0}%  |  範圍傷害 {1}%	ノックバック  |  打撃ユニット {0}%  |  範囲ダメージ {1}%
FMT_CARDMANAGER_071	Targets {0}  |  Combo Stack +2	目標 {0}名  |  連擊層數 +2	ターゲット {0}体  |  コンボスタック +2
FMT_CARDMANAGER_072	Targets {0}  |  {1} Sword Waves  |  Combo Stack +1	目標 {0}名  |  劍氣 {1}道  |  連擊層數 +1	ターゲット {0}体  |  剣気 {1}個  |  コンボスタック +1
FMT_CARDMANAGER_073	Targets {0}  |  AoE	目標 {0}名  |  範圍	ターゲット {0}体  |  範囲
FMT_CARDMANAGER_074	Targets {0}  |  Split {1} ({2}%)	目標 {0}名  |  分裂 {1}個({2}%)	ターゲット {0}体  |  分裂 {1}個({2}%)
FMT_CARDMANAGER_075	Lasts {0}s  |  Homing  |  Hits enemies in its path	持續 {0}秒  |  追蹤  |  攻擊路徑上的敵人	持続 {0}秒  |  追尾  |  経路上の敵を攻撃
FMT_CARDMANAGER_076	Lasts {0}s  |  Homing  |  Hits enemies in its path  |  Explodes on expiry {1}% (AoE)	持續 {0}秒  |  追蹤  |  攻擊路徑上的敵人  |  消失時爆炸 {1}%(範圍)	持続 {0}秒  |  追尾  |  経路上の敵を攻撃  |  消滅時に爆発 {1}%(範囲)
FMT_CARDMANAGER_077	Targets 1  |  AoE  |  Stun {0}s ({1}%)	目標 1名  |  範圍  |  暈眩 {0}秒({1}%)	ターゲット 1体  |  範囲  |  スタン {0}秒({1}%)
FMT_CARDMANAGER_078	Targets {0}  |  Bind {1}s (100%)  |  Half duration on Bosses/Elites	目標 {0}名  |  束縛 {1}秒(100%)  |  首領·菁英持續時間減半	ターゲット {0}体  |  バインド {1}秒(100%)  |  ボス・エリートは持続1/2
FMT_CARDMANAGER_079	Targets {0}  |  Lasts {1}s  |  Placed AoE (area grows over time)	目標 {0}名  |  持續 {1}秒  |  設置型範圍(範圍逐漸擴大)	ターゲット {0}体  |  持続 {1}秒  |  設置型範囲(範囲が徐々に拡大)
FMT_CARDMANAGER_080	Targets {0}  |  Lasts {1}s  |  Placed AoE (area grows over time)  |  Bleed {2}%/s ({3}s)	目標 {0}名  |  持續 {1}秒  |  設置型範圍(範圍逐漸擴大)  |  流血 {2}%/秒({3}秒)	ターゲット {0}体  |  持続 {1}秒  |  設置型範囲(範囲が徐々に拡大)  |  出血 {2}%/秒({3}秒)
FMT_CARDMANAGER_081	Targets {0}  |  Pierces {1}	目標 {0}名  |  穿透 {1}隻	ターゲット {0}体  |  貫通 {1}体
FMT_CARDMANAGER_082	Targets {0}  |  4 hits ({1}% × 4)  |  Crit +{2}%	目標 {0}名  |  4連擊({1}% × 4)  |  爆擊 +{2}%	ターゲット {0}体  |  4連撃({1}% × 4)  |  クリティカル +{2}%
FMT_CARDMANAGER_083	{0} shots  |  Pierces {1} ({2}/{3}/{4}/{5}%)	{0}發  |  穿透 {1}隻({2}/{3}/{4}/{5}%)	{0}発  |  貫通 {1}体({2}/{3}/{4}/{5}%)
FMT_CARDMANAGER_084	Targets {0}  |  Bind {1}s (100%)  |  Extra hit on release {2}~{3}%  |  Half duration on Bosses/Elites	目標 {0}名  |  束縛 {1}秒(100%)  |  解除時追加攻擊 {2}~{3}%  |  首領·菁英持續時間減半	ターゲット {0}体  |  バインド {1}秒(100%)  |  解除時に追加攻撃 {2}~{3}%  |  ボス・エリートは持続1/2
FMT_CARDMANAGER_085	Targets {0}  |  AoE  |  Storm homes for {1}s ({2}% on contact, once per {3}s per target)	目標 {0}名  |  範圍  |  風暴追蹤 {1}秒(接觸時 {2}%，同一目標每{3}秒1次)	ターゲット {0}体  |  範囲  |  ストームが{1}秒追尾(接触時 {2}%、同じ対象には{3}秒ごとに1回)
FMT_CARDMANAGER_086	Targets {0}  |  3 hits (40/30/30%)	目標 {0}名  |  3連擊(40/30/30%)	ターゲット {0}体  |  3連撃(40/30/30%)
